Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
Mouctar Diakhaby;Valencia;Defensa;1.670.000;50;4,2;12;1;5;Villarreal;0;4,0;4,3;En forma;J18;6
Mikel Vesga;Athletic Club;Centro;2.558.000;50;3,8;13;2;1;0;3,5;4,4;En forma;J18;2
Damián Suárez;Getafe;Defensa;2.137.000;50;3,6;14;0;5;Rayo Vallecano;0;4,3;2,9;En forma;J18;3
Marvin Park;Las Palmas;Delantero;2.018.000;50;3,6;14;0;2;Barcelona;0;3,7;3,5;En forma;J18;3
Abde Rebbach;Alavés;Centro;963.000;50;3,6;15;1;0;Real Sociedad;1;4,5;2,9;En forma;J18;3
Antonio Blanco;Alavés;Centro;3.687.000;50;3,1;16;0;1;Real Sociedad;1;2,6;3,6;En forma;J18;4
Alejandro Catena;Osasuna;Defensa;3.954.000;49;3,5;14;1;6;Almería;0;1,9;5,7;En forma;J18;0
Juan Iglesias;Getafe;Defensa;1.286.000;49;3,5;14;0;1;Rayo Vallecano;0;3,8;3,3;En forma;J18;3
Dakonam Djené;Getafe;Defensa;1.934.000;49;3,3;15;0;8;Rayo Vallecano;0;3,1;3,4;En forma;J18;0
Jorge de Frutos;Rayo Vallecano;Centro;685.000;49;2,9;17;1;0;Getafe;1;3,4;2,3;En forma;J18;2
Kepa Arrizabalaga;Real Madrid;Portero;7.694.000;48;4,4;11;0;1;Mallorca;0;3,6;5,0;En forma;J18;3
Fermín López;Barcelona;Centro;4.544.000;48;4,4;12;1;1;Las Palmas;1;4,5;4,2;En forma;J18;2
Matija Nastasić;Mallorca;Defensa;1.514.000;48;3,7;13;1;4;Real Madrid;1;4,8;2,7;En forma;J18;11
Djibril Sow;Sevilla;Centro;2.409.000;48;3,4;14;1;2;Athletic;0;4,1;2,2;En forma;J18;0
Rubén Peña;Osasuna;Defensa;1.002.000;48;3,4;14;0;2;Almería;0;3,5;3,4;En forma;J18;2
Máximo Perrone;Las Palmas;Centro;1.714.000;48;3,2;15;0;3;Barcelona;0;3,3;3,1;En forma;J18;4
Raúl Albiol;Villarreal;Defensa;3.862.000;48;3,0;16;0;3;Valencia;1;2,6;3,4;En forma;J18;2
Raúl García de Haro;Osasuna;Delantero;565.000;48;3,0;16;2;2;Almería;0;3,3;2,6;En forma;J18;7
Fran Beltrán;Celta;Centro;456.000;48;3,0;16;0;2;Betis;0;3,0;3,0;En forma;J18;0
Luca de la Torre;Celta;Centro;1.454.000;47;2,9;16;0;3;Betis;0;2,4;3,5;En forma;J18;2
Jon Moncayola;Osasuna;Centro;1.056.000;47;2,9;16;0;1;Almería;0;3,0;2,9;En forma;J18;2
Dion Lopy;Almería;Centro;750.000;47;2,9;16;0;2;Osasuna;1;3,1;2,8;En forma;J18;4
Sergio Ruiz;Granada;Centro;503.000;47;2,9;16;0;2;Cádiz;0;3,6;2,4;En forma;J18;2
 Pedri;Barcelona;Centro;16.860.000;46;5,8;8;1;2;Las Palmas;1;6,8;4,8;En forma;J18;0
Luis Suárez;Almería;Delantero;586.000;46;5,8;8;4;1;Osasuna;1;7,0;3,7;En forma;J18;0
Anastasios Douvikas;Celta;Delantero;552.000;46;3,5;14;3;1;Betis;0;2,0;4,9;En forma;J18;10
